,locus_tag,deg_id
395,BSU_03900,DNEG10010324
396,BSU_03910,DNEG10010325
397,BSU_03920,DNEG10010326
398,BSU_03930,DNEG10010327
399,BSU_03940,DNEG10010328
400,BSU_03950,DNEG10010329
401,BSU_03960,DNEG10010330
402,BSU_03970,DNEG10010331
403,BSU_03981,DNEG10010332
404,BSU_03982,DNEG10010333
405,BSU_03990,DNEG10010334
406,BSU_04000,DNEG10010335
407,BSU_04010,DNEG10010336
408,BSU_04020,DNEG10010337
409,BSU_04030,DNEG10010338
410,BSU_04039,DNEG10010339
411,BSU_04040,DNEG10010340
412,BSU_04050,DNEG10010341
413,BSU_04060,DNEG10010342
414,BSU_04070,DNEG10010343
415,BSU_04080,DNEG10010344
416,BSU_04090,DNEG10010345
417,BSU_04100,DNEG10010346
418,BSU_04110,DNEG10010347
419,BSU_04120,DNEG10010348
420,BSU_04130,DNEG10010349
421,BSU_04140,DNEG10010350
422,BSU_04150,DNEG10010351
423,BSU_04160,DNEG10010352
424,BSU_04170,DNEG10010353
425,BSU_04180,DNEG10010354
426,BSU_04190,DNEG10010355
427,BSU_04200,DNEG10010356
428,BSU_04210,DNEG10010357
429,BSU_04220,DNEG10010358
430,BSU_04230,DNEG10010359
431,BSU_04240,DNEG10010360
432,BSU_04250,DNEG10010361
433,BSU_04260,DNEG10010362
434,BSU_04270,DNEG10010363
435,BSU_04280,DNEG10010364
436,BSU_04290,DNEG10010365
437,BSU_04300,DNEG10010366
438,BSU_04310,DNEG10010367
439,BSU_04320,DNEG10010368
440,BSU_04330,DNEG10010369
441,BSU_04340,DNEG10010370
442,BSU_04345,-
443,BSU_04359,DNEG10010371
444,BSU_04360,DNEG10010372
445,BSU_04370,DNEG10010373
446,BSU_04380,DNEG10010374
447,BSU_04390,DNEG10010375
448,BSU_04400,DNEG10010376
449,BSU_04410,DNEG10010377
450,BSU_04420,DNEG10010378
451,BSU_04430,DNEG10010379
452,BSU_04440,DNEG10010380
453,BSU_04450,DNEG10010381
454,BSU_04460,DNEG10010382
455,BSU_04470,DNEG10010383
456,BSU_04480,DNEG10010384
457,BSU_04490,DNEG10010385
458,BSU_04500,DNEG10010386
459,BSU_04510,DNEG10010387
460,BSU_04520,DNEG10010388
461,BSU_04530,DNEG10010389
462,BSU_04536,-
463,BSU_04540,DNEG10010390
464,BSU_04550,DNEG10010391
465,BSU_04560,DEG10010069
466,BSU_04570,DEG10010070
467,BSU_04580,DNEG10010392
468,BSU_04590,DNEG10010393
469,BSU_04600,DNEG10010394
470,BSU_04610,DNEG10010395
471,BSU_04620,DEG10010071
472,BSU_04630,DNEG10010396
473,BSU_04640,DEG10010072
474,BSU_04650,DNEG10010397
475,BSU_04660,DNEG10010398
476,BSU_04670,DNEG10010399
477,BSU_04680,DNEG10010400
478,BSU_04690,DNEG10010401
479,BSU_04700,DNEG10010402
480,BSU_04710,DNEG10010403
481,BSU_04720,DNEG10010404
482,BSU_04730,DNEG10010405
483,BSU_04740,DNEG10010406
484,BSU_04745,-
485,BSU_04750,DNEG10010407
486,BSU_04760,DNEG10010408
487,BSU_04770,DNEG10010409
488,BSU_04780,DNEG10010410
489,BSU_04785,-
490,BSU_04790,DNEG10010411
491,BSU_04800,DNEG10010412
492,BSU_04810,DNEG10010413
493,BSU_04820,DNEG10010414
494,BSU_04830,DNEG10010415
495,BSU_04839,DNEG10010416
496,BSU_04840,DNEG10010417
497,BSU_04849,-
498,BSU_04850,DNEG10010418
499,BSU_04860,DNEG10010419
500,BSU_04870,DNEG10010420
501,BSU_04880,DNEG10010421
502,BSU_04890,DNEG10010422
503,BSU_04900,DNEG10010423
504,BSU_04910,DNEG10010424
505,BSU_04920,DNEG10010425
506,BSU_04930,DNEG10010426
507,BSU_04940,DNEG10010427
508,BSU_04950,DNEG10010428
509,BSU_04960,DNEG10010429
510,BSU_04970,DNEG10010430
511,BSU_04980,DNEG10010431
512,BSU_04990,DNEG10010432
513,BSU_05000,DNEG10010433
